100000;20778056;25783;1935
100000;20798987;25928;1936
100000;20871901;25885;1945
100000;20739744;27579;1869
100000;20781285;26046;1915
100000;20786643;25926;1667
100000;20806964;25781;1921
100000;20789032;25882;1934
100000;20815241;25767;1929
100000;20815729;25759;1937
100000;21020269;25956;1897
100000;20820090;25853;1949
100000;20849886;26085;1945
100000;20774872;25921;2017
100000;20929699;25987;2001
100000;20741704;25974;1928
100000;20802124;25814;1904
100000;20840545;28901;2585
100000;20861269;25819;1942
100000;20955390;26029;1881
100000;20736382;28156;2602
100000;20785291;25786;1982
100000;20815519;26089;1962
100000;20826742;25849;2146
100000;20895341;26115;1975
100000;20733762;25879;1985
100000;20806538;26062;1945
100000;20793217;26003;1939
100000;20769588;25814;1928
100000;20892405;25888;1921
100000;20817234;25856;2016
100000;20792437;25810;1920
100000;20777669;25994;1941
100000;20834839;25900;1972
100000;20749152;25950;1976
100000;20743893;26072;1883
100000;20992600;25782;1994
100000;20990125;25851;1896
100000;20892357;25999;1996
100000;20843929;25824;1949
100000;20799885;25900;1927
100000;20909698;25812;1897
100000;20743717;25849;1926
100000;20950443;25837;1918
100000;20970741;26001;1950
100000;20828658;26362;2138
100000;21014459;25994;1932
100000;20943173;26373;1975
100000;20790503;25942;1960
100000;20866807;25938;1954
